Pod_name,Job_name,Job_submit,Pod_create,Pod_start,Pod_end,Pod_wait_create,Pod_wait_run,Pod_wait_total,Pod_running_time,Pod_total_time,Running node,Requests_memory,Limits_memory,Requests_cpu,Limits_cpu,Requests_gpu,Limits_gpu
default-job-0-test-gpu-0,job-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:47,0.0,0.0,0.0,47.0,47.0,k8s22-74,500m,600m,512Mi,768Mi,1,1
default-job-0-test-gpu-1,job-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:53,0.0,0.0,0.0,53.0,53.0,k8s24-74,500m,600m,512Mi,768Mi,1,1
default-job-0-test-gpu-2,job-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:50,0.0,0.0,0.0,50.0,50.0,k8s22-74,500m,600m,512Mi,768Mi,1,1
default-job-0-test-gpu-3,job-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:53,0.0,0.0,0.0,53.0,53.0,k8s20-74,500m,600m,512Mi,768Mi,1,1
default-job-0-test-gpu-4,job-0,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:48,0.0,0.0,0.0,48.0,48.0,k8s22-74,500m,600m,512Mi,768Mi,1,1
default-job-1-test-gpu-0,job-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:49,0.0,0.0,0.0,49.0,49.0,k8s24-74,1,1100m,1Gi,1536Mi,1,1
default-job-1-test-gpu-1,job-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:48,0.0,0.0,0.0,48.0,48.0,k8s23-74,1,1100m,1Gi,1536Mi,1,1
default-job-1-test-gpu-2,job-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:54,0.0,0.0,0.0,54.0,54.0,k8s20-74,1,1100m,1Gi,1536Mi,1,1
default-job-1-test-gpu-3,job-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:52,0.0,0.0,0.0,52.0,52.0,k8s23-74,1,1100m,1Gi,1536Mi,1,1
default-job-1-test-gpu-4,job-1,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:48,0.0,0.0,0.0,48.0,48.0,k8s21-74,1,1100m,1Gi,1536Mi,1,1
default-job-2-test-gpu-0,job-2,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:04,0.0,0.0,0.0,64.0,64.0,k8s23-74,1500m,1600m,2Gi,2560Mi,1,1
default-job-2-test-gpu-1,job-2,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:08,0.0,0.0,0.0,68.0,68.0,k8s20-74,1500m,1600m,2Gi,2560Mi,1,1
default-job-2-test-gpu-2,job-2,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:04,0.0,0.0,0.0,64.0,64.0,k8s21-74,1500m,1600m,2Gi,2560Mi,1,1
default-job-2-test-gpu-3,job-2,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:12,0.0,0.0,0.0,72.0,72.0,k8s22-74,1500m,1600m,2Gi,2560Mi,1,1
default-job-2-test-gpu-4,job-2,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:06,0.0,0.0,0.0,66.0,66.0,k8s22-74,1500m,1600m,2Gi,2560Mi,1,1
default-job-3-test-gpu-0,job-3,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:24,0.0,0.0,0.0,84.0,84.0,k8s20-74,2,2100m,4Gi,4608Mi,1,1
default-job-3-test-gpu-1,job-3,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:21,0.0,0.0,0.0,81.0,81.0,k8s21-74,2,2100m,4Gi,4608Mi,1,1
default-job-3-test-gpu-2,job-3,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:28,0.0,0.0,0.0,88.0,88.0,k8s24-74,2,2100m,4Gi,4608Mi,1,1
default-job-3-test-gpu-3,job-3,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:00:00,0001-01-01 00:01:27,0.0,0.0,0.0,87.0,87.0,k8s24-74,2,2100m,4Gi,4608Mi,1,1
